order_id,order_date,customer_age,restaurant_type,order_value,delivery_distance_km,delivery_time_minutes,payment_method,delivery_partner_rating,order_status,delivery_category,high_value_order,age_group
1,11/5/2024,62,Indian,497.51,11.07,79,UPI,3.9,Cancelled,Slow,No,50+
2,8/20/2024,35,Bakery,232.32,5.83,69,Wallet,2.7,Cancelled,Slow,No,26-35
3,2/28/2024,34,Italian,540.82,3.61,70,Wallet,3.4,Cancelled,Slow,No,26-35
4,5/26/2024,65,Cafe,1197.99,3.66,18,Card,4.6,Cancelled,Fast,Yes,50+
5,9/21/2024,40,Indian,947.03,12.08,57,UPI,4.9,Delayed,Medium,Yes,36-50
6,3/16/2024,51,Italian,835.75,3.56,85,UPI,3.8,Delayed,Slow,Yes,50+
7,11/20/2024,52,Cafe,771.83,14.37,80,Card,3.7,Delivered,Slow,No,50+
8,11/24/2024,52,Chinese,926.20,12.81,19,UPI,4.4,Delayed,Fast,Yes,50+
9,7/23/2024,38,Bakery,548.11,13.54,42,Cash,4.1,Delayed,Medium,No,36-50
10,7/1/2024,24,Fast Food,177.18,8.15,29,Cash,2.9,Delivered,Fast,No,18-25
11,9/16/2024,27,Cafe,806.68,5.43,53,Cash,3.1,Cancelled,Medium,Yes,26-35
12,8/27/2024,61,Bakery,1193.33,9.68,26,UPI,3.5,Delivered,Fast,Yes,50+
13,1/9/2024,31,Chinese,758.14,1.28,57,Cash,2.9,Delayed,Medium,No,26-35
14,9/2/2024,47,Cafe,937.07,13.41,88,Wallet,3.8,Cancelled,Slow,Yes,36-50
15,8/21/2024,62,Chinese,810.18,12.36,87,Cash,5.0,Delayed,Slow,Yes,50+
16,7/24/2024,38,Bakery,773.12,9.07,50,Wallet,2.8,Cancelled,Medium,No,36-50
17,4/9/2024,54,Cafe,816.14,10.95,86,UPI,4.8,Delayed,Slow,Yes,50+
18,4/20/2024,43,Cafe,640.60,4.49,50,Cash,4.1,Delayed,Medium,No,36-50
19,3/1/2024,54,Indian,193.87,4.40,63,UPI,2.8,Delivered,Slow,No,50+
20,8/23/2024,23,Chinese,183.09,14.11,52,Cash,2.9,Cancelled,Medium,No,18-25
21,10/22/2024,45,Italian,343.21,8.39,77,Cash,4.7,Cancelled,Slow,No,36-50
22,12/24/2024,57,Cafe,628.52,12.79,50,UPI,4.0,Cancelled,Medium,No,50+
23,7/11/2024,38,Indian,471.61,10.22,33,Cash,4.8,Delivered,Medium,No,36-50
24,6/12/2024,36,Fast Food,873.90,8.41,20,Wallet,3.8,Cancelled,Fast,Yes,36-50
25,3/18/2024,53,Bakery,310.93,10.26,17,Wallet,3.1,Delivered,Fast,No,50+
26,6/28/2024,46,Indian,556.41,8.18,60,Card,2.6,Cancelled,Slow,No,36-50
27,3/25/2024,53,Indian,921.62,12.48,56,Card,4.1,Cancelled,Medium,Yes,50+
28,9/20/2024,38,Cafe,272.59,6.26,21,UPI,4.7,Cancelled,Fast,No,36-50
29,5/26/2024,43,Bakery,807.09,10.99,84,Card,4.4,Delayed,Slow,Yes,36-50
30,8/4/2024,24,Cafe,209.75,10.47,82,UPI,3.3,Delivered,Slow,No,18-25
31,8/13/2024,46,Bakery,572.97,7.68,57,Wallet,3.4,Delayed,Medium,No,36-50
32,8/15/2024,55,Indian,453.01,7.74,72,Cash,3.5,Delayed,Slow,No,50+
